,0,1,accuracy,macro avg,weighted avg
precision,0.5017182130584192,0.5555555555555556,0.5033333333333333,0.5286368843069874,0.5286368843069874
recall,0.9733333333333334,0.03333333333333333,0.5033333333333333,0.5033333333333334,0.5033333333333333
f1-score,0.6621315192743764,0.06289308176100629,0.5033333333333333,0.36251230051769134,0.36251230051769134
support,150.0,150.0,0.5033333333333333,300.0,300.0
