,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.0,0.09375,0.16,0.4111111111111111,0.19746376811594202,0.21466666666666667,0.17246497584541062,0.17246497584541062
recall,0.0,0.02,0.08,0.24666666666666667,0.7266666666666667,0.21466666666666667,0.21466666666666664,0.21466666666666667
f1-score,0.0,0.03296703296703297,0.10666666666666667,0.3083333333333333,0.3105413105413105,0.21466666666666667,0.1517016687016687,0.15170166870166868
support,150.0,150.0,150.0,150.0,150.0,0.21466666666666667,750.0,750.0
