,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.23684210526315788,0.22142857142857142,0.1366906474820144,0.24404761904761904,0.22123893805309736,0.21466666666666667,0.212049576254892,0.21204957625489199
recall,0.3,0.20666666666666667,0.12666666666666668,0.2733333333333333,0.16666666666666666,0.21466666666666667,0.21466666666666664,0.21466666666666667
f1-score,0.2647058823529412,0.21379310344827587,0.13148788927335642,0.2578616352201258,0.19011406844106465,0.21466666666666667,0.21159251574715282,0.2115925157471528
support,150.0,150.0,150.0,150.0,150.0,0.21466666666666667,750.0,750.0
