,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.15915915915915915,0.19230769230769232,0.08108108108108109,0.23076923076923078,0.25259515570934254,0.19733333333333333,0.18318246380530118,0.1831824638053012
recall,0.35333333333333333,0.06666666666666667,0.02,0.06,0.4866666666666667,0.19733333333333333,0.19733333333333333,0.19733333333333333
f1-score,0.21946169772256727,0.09900990099009901,0.03208556149732621,0.09523809523809523,0.3325740318906606,0.19733333333333333,0.15567385746774967,0.15567385746774967
support,150.0,150.0,150.0,150.0,150.0,0.19733333333333333,750.0,750.0
