,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.7330400227079193,0.0,0.0,0.0,0.0,0.7330400227079193,0.14660800454158388,0.5373476748916269
recall,1.0,0.0,0.0,0.0,0.0,0.7330400227079193,0.2,0.7330400227079193
f1-score,0.845958561952338,0.0,0.0,0.0,0.0,0.7330400227079193,0.1691917123904676,0.6201214834635006
support,5165.0,494.0,1058.0,179.0,150.0,0.7330400227079193,7046.0,7046.0
