,0,1,accuracy,macro avg,weighted avg
precision,0.5602094240837696,0.6055045871559633,0.5766666666666667,0.5828570056198665,0.5828570056198665
recall,0.7133333333333334,0.44,0.5766666666666667,0.5766666666666667,0.5766666666666667
f1-score,0.6275659824046921,0.5096525096525096,0.5766666666666667,0.5686092460286009,0.5686092460286009
support,150.0,150.0,0.5766666666666667,300.0,300.0
