,0,1,accuracy,macro avg,weighted avg
precision,0.5034013605442177,0.6666666666666666,0.5066666666666667,0.5850340136054422,0.5850340136054422
recall,0.9866666666666667,0.02666666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667
f1-score,0.6666666666666666,0.05128205128205129,0.5066666666666667,0.358974358974359,0.358974358974359
support,150.0,150.0,0.5066666666666667,300.0,300.0
