,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.67673659324646,0.016216965348310942,0.16145882606506348,0.0017125089403374743,1,1e-05,"{'C': 1, 'gamma': 1e-05}",0.48660714285714285,0.4977578475336323,0.4977578475336323,0.4977578475336323,0.4977578475336323,0.4955277065983344,0.004460281870595773,1
1,0.674506664276123,0.00847294311003826,0.1618880271911621,0.0019707961983809166,1,0.0001,"{'C': 1, 'gamma': 0.0001}",0.48660714285714285,0.4977578475336323,0.4977578475336323,0.4977578475336323,0.4977578475336323,0.4955277065983344,0.004460281870595773,1
2,0.6721041202545166,0.010162453249994664,0.1630641460418701,0.0033264912437651084,1,0.001,"{'C': 1, 'gamma': 0.001}",0.48660714285714285,0.48878923766816146,0.484304932735426,0.49327354260089684,0.4977578475336323,0.49014654067905183,0.004820873879826023,10
3,0.42570152282714846,0.009741044333437152,0.10079503059387207,0.0014564697156818573,1,0.01,"{'C': 1, 'gamma': 0.01}",0.5089285714285714,0.4484304932735426,0.5515695067264574,0.47533632286995514,0.4798206278026906,0.49281710442024346,0.03508869197641765,4
4,0.6665931701660156,0.004490401362214828,0.16106348037719725,0.0010418697067289544,10,1e-05,"{'C': 10, 'gamma': 1e-05}",0.48660714285714285,0.4977578475336323,0.4977578475336323,0.4977578475336323,0.4977578475336323,0.4955277065983344,0.004460281870595773,1
5,0.6673116207122802,0.0018172825159256715,0.16083259582519532,0.0008801422807268838,10,0.0001,"{'C': 10, 'gamma': 0.0001}",0.48660714285714285,0.48878923766816146,0.484304932735426,0.49327354260089684,0.5022421524663677,0.491043401665599,0.006333311284862985,6
6,0.6598379135131835,0.006130734992286637,0.15823750495910643,0.0012407671694217547,10,0.001,"{'C': 10, 'gamma': 0.001}",0.49107142857142855,0.5022421524663677,0.4663677130044843,0.5067264573991032,0.484304932735426,0.4901425368353619,0.014294123473349083,11
7,0.350813102722168,0.00811642681716861,0.08372673988342286,0.002515054804902765,10,0.01,"{'C': 10, 'gamma': 0.01}",0.4955357142857143,0.42152466367713004,0.5560538116591929,0.47533632286995514,0.484304932735426,0.48655108904548366,0.043059503332371706,14
8,0.6661871433258056,0.0014287095451166896,0.1627209186553955,0.0020759682922775894,100,1e-05,"{'C': 100, 'gamma': 1e-05}",0.48660714285714285,0.48878923766816146,0.484304932735426,0.49327354260089684,0.5022421524663677,0.491043401665599,0.006333311284862985,6
9,0.666947889328003,0.006471666034671602,0.16198115348815917,0.004809762472655563,100,0.0001,"{'C': 100, 'gamma': 0.0001}",0.49107142857142855,0.4977578475336323,0.47533632286995514,0.5067264573991032,0.48878923766816146,0.4919362588084561,0.010381237076519839,5
10,0.630696439743042,0.008939118978018787,0.14302587509155273,0.0017711187864151547,100,0.001,"{'C': 100, 'gamma': 0.001}",0.45982142857142855,0.547085201793722,0.4663677130044843,0.4798206278026906,0.47085201793721976,0.48478939782190905,0.031819693229363635,15
11,0.350695276260376,0.007788882731080035,0.08364453315734863,0.003033135295872161,100,0.01,"{'C': 100, 'gamma': 0.01}",0.49107142857142855,0.4260089686098655,0.547085201793722,0.47533632286995514,0.4798206278026906,0.48386450992953234,0.0386914517036214,18
12,0.6648978233337403,0.005269816913805235,0.15807290077209474,0.0017803538613639432,1000,1e-05,"{'C': 1000, 'gamma': 1e-05}",0.49107142857142855,0.4977578475336323,0.47533632286995514,0.5067264573991032,0.484304932735426,0.4910393978219091,0.010799648268569188,8
13,0.6500247955322266,0.007220517439390968,0.1494913101196289,0.0025984124114066713,1000,0.0001,"{'C': 1000, 'gamma': 0.0001}",0.5,0.4977578475336323,0.49327354260089684,0.48878923766816146,0.4618834080717489,0.4883408071748879,0.013777839906490775,12
14,0.45810890197753906,0.009152918194772002,0.09433841705322266,0.001836326932497577,1000,0.001,"{'C': 1000, 'gamma': 0.001}",0.4419642857142857,0.5067264573991032,0.49327354260089684,0.47085201793721976,0.5067264573991032,0.48390855221012175,0.02473382792266162,16
15,0.3457943916320801,0.008369921280204418,0.08298811912536622,0.002175622224039057,1000,0.01,"{'C': 1000, 'gamma': 0.01}",0.49107142857142855,0.42152466367713004,0.547085201793722,0.47533632286995514,0.4798206278026906,0.4829676489429852,0.040050251299845456,19
16,0.6573315620422363,0.0031590241938852046,0.15758037567138672,0.0020873201101592894,1000,1e-05,"{'C': 1000, 'gamma': 1e-05}",0.49107142857142855,0.4977578475336323,0.47533632286995514,0.5067264573991032,0.484304932735426,0.4910393978219091,0.010799648268569188,8
17,0.6438003063201905,0.004012572045399819,0.14938926696777344,0.002460403866300458,1000,0.0001,"{'C': 1000, 'gamma': 0.0001}",0.5,0.4977578475336323,0.49327354260089684,0.48878923766816146,0.4618834080717489,0.4883408071748879,0.013777839906490775,12
18,0.4575052261352539,0.010172478548450666,0.095009183883667,0.002354802845652345,1000,0.001,"{'C': 1000, 'gamma': 0.001}",0.4419642857142857,0.5067264573991032,0.49327354260089684,0.47085201793721976,0.5067264573991032,0.48390855221012175,0.02473382792266162,16
19,0.35196595191955565,0.013292484309878578,0.08487653732299805,0.00407818035843544,1000,0.01,"{'C': 1000, 'gamma': 0.01}",0.49107142857142855,0.42152466367713004,0.547085201793722,0.47533632286995514,0.4798206278026906,0.4829676489429852,0.040050251299845456,19
