,0,1,accuracy,macro avg,weighted avg
precision,0.47619047619047616,0.4982078853046595,0.49666666666666665,0.48719918074756785,0.48719918074756785
recall,0.06666666666666667,0.9266666666666666,0.49666666666666665,0.49666666666666665,0.49666666666666665
f1-score,0.11695906432748539,0.648018648018648,0.49666666666666665,0.38248885617306666,0.38248885617306666
support,150.0,150.0,0.49666666666666665,300.0,300.0
