,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.0,0.11627906976744186,0.1686746987951807,0.41414141414141414,0.23809523809523808,0.24666666666666667,0.18743808415985494,0.18743808415985494
recall,0.0,0.03333333333333333,0.09333333333333334,0.2733333333333333,0.8333333333333334,0.24666666666666667,0.24666666666666667,0.24666666666666667
f1-score,0.0,0.05181347150259067,0.1201716738197425,0.3293172690763052,0.37037037037037035,0.24666666666666667,0.17433455695380176,0.17433455695380173
support,150.0,150.0,150.0,150.0,150.0,0.24666666666666667,750.0,750.0
